"","partido","proESTADO","fundamentalismo","desconfia"
"150","Nacional",0.777777777777778,0.400735536022173,0.564696076405228
"151","Nacional",0.777777777777778,0.602491992045891,0.467250096918275
"152","Frente Amplio",0,0.450795385632506,0.512370972896667
"153","Nacional",NA,0.259251288889406,0.268025569078065
"154","Frente Amplio",0.444444444444444,0.402957161753279,0.629465056177761
"155","Frente Amplio",0.777777777777778,0.35548122132577,0.604887308161795
"156","Frente Amplio",0.444444444444444,0.347922109986214,0.502422439396397
"157","OUTROS",0.333333333333333,0.142722571076002,0.490185482548008
"158","NENHUM",0,0.403344125281741,0.38557622432365
"159","Nacional",NA,0,0.365193099977243
"160","Nacional",0.444444444444444,0.346042479427208,0.688186147301855
"161","Frente Amplio",0.777777777777778,0.500071881272442,0.552910361716968
"162","Frente Amplio",0.555555555555556,0.447163985939863,0.604887308161795
"163","OUTROS",0.222222222222222,0.370565150825847,0.582948801043231
"164","NENHUM",0.666666666666667,0.462769319826964,0.682696274566744
"165","NENHUM",0.777777777777778,0.389828404071209,0.817860599793802
"166","NENHUM",0.444444444444444,0.343716995851827,0.275121500803915
"167","OUTROS",0.444444444444444,0.35548122132577,0.494643058330324
"168","Nacional",0,0.602491992045891,0.727216537747657
"169","OUTROS",0.444444444444444,0.262375791797475,0.888897207350239
"170","Frente Amplio",NA,0.35301487296329,0.477807995125088
"171","Frente Amplio",0.777777777777778,0.452676438564783,0.539142694101793
"172","Frente Amplio",0.333333333333333,0.602491992045891,0.470441617476967
"173","NENHUM",NA,0.543695747086335,0.513810646690574
"174","Frente Amplio",1,0.554660483871666,0.494643058330324
"175","Frente Amplio",0.777777777777778,0.360430562934386,0.672333622278218
"176","OUTROS",0.333333333333333,0.255903632826976,0.660673884082771
"177","Nacional",0.555555555555556,0.500071881272442,0.38557622432365
"178","Colorado",1,0.514045152668047,0.469320960139809
"179","Frente Amplio",0.666666666666667,0.142722571076002,0.622161574715069
"180","Frente Amplio",0.444444444444444,0.278391099715376,0.466020481277603
"181","Frente Amplio",0.555555555555556,0.113395464902869,0.566208288180762
"182","Frente Amplio",0,0.28645380346394,0.673148234458502
"183","Frente Amplio",0.777777777777778,0.385212334935339,0.607507271328116
"184","Frente Amplio",0.777777777777778,0.164954298014334,0.594806521565285
"185","Colorado",0.888888888888889,0.169102614168171,0.465688542635417
