"","...1","partido","fundamentalismo","desconfia","proMERCADO"
"1",1,"UDI",1.1898280565793,0,0.777777777777778
"2",2,"RN",0.189828056579299,0.695589839159161,0.777777777777778
"3",3,"RN",0.971537897036807,0.571939622872219,0.777777777777778
"4",6,"UDI",1.1898280565793,0.621825359068293,0.666666666666667
"5",8,"RN",0.189828056579299,0.335855547632184,0.555555555555556
"6",9,"RN",1.1898280565793,0,0.777777777777778
"7",11,"DC",0.189828056579299,0.335855547632184,0.444444444444444
"8",12,"PPD",0.189828056579299,0.762091067541316,0.444444444444444
"9",13,"DC",0.189828056579299,0.5,0.444444444444444
"10",15,"UDI",0.189828056579299,0.195589839159161,0.777777777777778
"11",16,"UDI",0.189828056579299,0.48155965059527,0.888888888888889
"12",18,"DC",0.685408442021333,0.5,0.555555555555556
"13",19,"DC",0.515389361712804,0.5,0.444444444444444
"14",21,"UDI",0.534571140820646,0.640265708473023,0.777777777777778
"15",22,"UDI",0.534571140820646,0.5,0.777777777777778
"16",23,"UDI",0.971537897036807,0.621825359068293,0.777777777777778
"17",24,"DC",0.189828056579299,0.409620027723051,0.333333333333333
"18",25,"PPD",0.189828056579299,0.5,0
"19",26,"DC",0.971537897036807,0.695589839159161,0.555555555555556
"20",27,"DC",0.189828056579299,0.359734291526977,0.444444444444444
"21",28,"UDI",0.685408442021333,0.571939622872219,0.666666666666667
"22",29,"UDI",0.971537897036807,0.426235519909132,0.777777777777778
"23",30,"UDI",1.1898280565793,0.335855547632184,0.666666666666667
"24",31,"RN",0.534571140820646,0.426235519909132,0.666666666666667
"25",32,"RN",0.189828056579299,0.712205331345242,0.888888888888889
"26",33,"PPD",0.189828056579299,0.409620027723051,0.666666666666667
"27",34,"RN",1.1898280565793,0,0.555555555555556
"28",35,"UDI",0.534571140820646,0.335855547632184,0.666666666666667
"29",36,"UDI",1.1898280565793,0.409620027723051,0.888888888888889
"30",37,"RN",1.1898280565793,0.195589839159161,0.444444444444444
"31",38,"DC",0.189828056579299,0.762091067541316,0.222222222222222
"32",39,"UDI",0.534571140820646,0.5,0.888888888888889
"33",42,"PS",0.189828056579299,0.573764480090868,0.222222222222222
"34",44,"PS",0.189828056579299,0.787794668654758,0.222222222222222
"35",45,"DC",0.189828056579299,0.926235519909132,0.555555555555556
"36",46,"DC",0.189828056579299,0.426235519909132,0.333333333333333
"37",48,"PPD",0.515389361712804,0.391179678318321,0.666666666666667
"38",50,"PPD",1.1898280565793,0.941065414514395,0.555555555555556
"39",51,"PPD",0.189828056579299,0.195589839159161,0.444444444444444
"40",52,"RN",0.971537897036807,0.5,0.444444444444444
"41",53,"RN",0.534571140820646,0.426235519909132,0.666666666666667
"42",55,"PS",0.189828056579299,1,0.222222222222222
"43",56,"PPD",0.189828056579299,0.859734291526977,0.444444444444444
"44",57,"PPD",0.834392468393264,0.5,0.333333333333333
"45",58,"DC",0.189828056579299,0.409620027723051,0.222222222222222
"46",59,"UDI",0.534571140820646,0.335855547632184,0.888888888888889
"47",60,"UDI",0.971537897036807,0.426235519909132,0.777777777777778
"48",63,"UDI",0.534571140820646,0.426235519909132,0.666666666666667
"49",65,"UDI",0.971537897036807,0.662319595149168,1
